[2025-10-29 22:39:50.696] [info]  DiscordSplash.signalReady
[2025-10-29 22:39:50.701] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-10-29 22:39:50.713] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-10-29 22:39:50.713] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-10-29 22:39:50.713] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-10-29 22:39:50.715] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-10-29 22:39:50.715] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-10-29 22:39:50.725] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-10-29 22:39:50.725] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-10-29 22:39:50.726] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-10-29 22:39:50.726] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-10-29 22:39:50.726] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-10-29 22:39:50.726] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-10-29 22:39:50.726] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-10-29 22:39:50.726] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-10-29 22:39:51.696] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-29 22:39:52.696] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-29 22:39:53.696] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-29 22:39:54.696] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-29 22:39:55.696] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-29 22:39:56.696] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-29 22:39:57.332] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-10-29 22:39:57.332] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-10-29 22:39:57.699] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-29 22:39:58.696] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-29 22:39:59.696] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-29 22:40:00.700] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-29 22:40:01.696] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-29 22:40:02.697] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-29 22:40:03.696] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-29 22:40:04.082] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-10-29 22:40:04.082] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-10-29 22:40:04.184] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2025-10-29 22:40:04.185] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2025-10-29 22:40:04.284] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2025-10-29 22:40:04.285] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2025-10-29 22:40:04.387] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2025-10-29 22:40:04.387] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2025-10-29 22:40:04.591] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":11}
[2025-10-29 22:40:04.592] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":11}
[2025-10-29 22:40:04.692] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":14}
[2025-10-29 22:40:04.693] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":14}
[2025-10-29 22:40:04.696] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-29 22:40:04.796] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":16}
[2025-10-29 22:40:04.796] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":16}
[2025-10-29 22:40:04.825] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":17}
[2025-10-29 22:40:04.825] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":17}
[2025-10-29 22:40:04.853] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":18}
[2025-10-29 22:40:04.854] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":18}
[2025-10-29 22:40:04.875] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":19}
[2025-10-29 22:40:04.876] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":19}
[2025-10-29 22:40:04.933] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":20}
[2025-10-29 22:40:04.933] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":20}
[2025-10-29 22:40:04.961] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":21}
[2025-10-29 22:40:04.961] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":21}
[2025-10-29 22:40:05.011] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":22}
[2025-10-29 22:40:05.011] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":22}
[2025-10-29 22:40:05.031] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":23}
[2025-10-29 22:40:05.031] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":23}
[2025-10-29 22:40:05.093] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":24}
[2025-10-29 22:40:05.093] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":24}
[2025-10-29 22:40:05.112] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":25}
[2025-10-29 22:40:05.112] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":25}
[2025-10-29 22:40:05.140] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":26}
[2025-10-29 22:40:05.141] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":26}
[2025-10-29 22:40:05.191] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":27}
[2025-10-29 22:40:05.191] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":27}
[2025-10-29 22:40:05.212] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":28}
[2025-10-29 22:40:05.212] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":28}
[2025-10-29 22:40:05.263] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":29}
[2025-10-29 22:40:05.263] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":29}
[2025-10-29 22:40:05.284] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":30}
[2025-10-29 22:40:05.284] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":30}
[2025-10-29 22:40:05.336] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":31}
[2025-10-29 22:40:05.338] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":31}
[2025-10-29 22:40:05.361] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":32}
[2025-10-29 22:40:05.363] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":32}
[2025-10-29 22:40:05.384] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":33}
[2025-10-29 22:40:05.384] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":33}
[2025-10-29 22:40:05.428] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":34}
[2025-10-29 22:40:05.429] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":34}
[2025-10-29 22:40:05.449] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":35}
[2025-10-29 22:40:05.452] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":35}
[2025-10-29 22:40:05.498] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":36}
[2025-10-29 22:40:05.499] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":36}
[2025-10-29 22:40:05.520] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":37}
[2025-10-29 22:40:05.521] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":37}
[2025-10-29 22:40:05.535] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":38}
